"REF_DATE","GEO","DGUID","Educational qualification","Field of study","Gender","Age group","Status of student in Canada","Characteristics after graduation","Graduate statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Social and behavioural sciences and law [4]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664698554","1.4.16.1.2.1.4.3","44200","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Business, management and public administration [5]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664698795","1.4.24.1.2.1.4.1","15510","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Business, management and public administration [5]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664698796","1.4.24.1.2.1.4.2","40100","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Business, management and public administration [5]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664698797","1.4.24.1.2.1.4.3","47500","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Physical and life sciences and technologies [6]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664699038","1.4.28.1.2.1.4.1","1170","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Physical and life sciences and technologies [6]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664699039","1.4.28.1.2.1.4.2","44300","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Physical and life sciences and technologies [6]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664699040","1.4.28.1.2.1.4.3","51100","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Mathematics, computer and information sciences [7]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664699281","1.4.34.1.2.1.4.1","3820","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Mathematics, computer and information sciences [7]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664699282","1.4.34.1.2.1.4.2","49400","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Mathematics, computer and information sciences [7]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664699283","1.4.34.1.2.1.4.3","59300","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Architecture, engineering, and related trades [8]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664699524","1.4.39.1.2.1.4.1","13630","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Architecture, engineering, and related trades [8]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664699525","1.4.39.1.2.1.4.2","53400","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Architecture, engineering, and related trades [8]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664699526","1.4.39.1.2.1.4.3","67900","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Agriculture, natural resources and conservation [9]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664699767","1.4.47.1.2.1.4.1","2120","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Agriculture, natural resources and conservation [9]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664699768","1.4.47.1.2.1.4.2","43900","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Agriculture, natural resources and conservation [9]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664699769","1.4.47.1.2.1.4.3","50300","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Health and related fields [10]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664700009","1.4.50.1.2.1.4.1","10850","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Health and related fields [10]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664700010","1.4.50.1.2.1.4.2","53900","","","","0"
